Dates,traded_dollars,asset_turnover,signal_change_day,nonzero_rebalance_day,BRL_traded_dollars,AUD_traded_dollars,BCOM_traded_dollars,XAU_traded_dollars
2002-12-11,111379.57879624143,0.0011003391542125794,False,True,12119.473546743393,35214.79057679698,0.0,64045.31467270106
2002-12-12,169745.92203412205,0.0016717224136841389,False,True,117611.45366640761,45299.834482666105,0.0,6834.63388504833
2002-12-13,26299577.88320718,0.25760640865213824,True,True,319207.5375222862,95367.99192061648,25523023.69030065,361978.66346362606
2002-12-16,525373.5271951035,0.005106605194771634,False,True,262686.76359755173,199318.44233823195,12495.231937821954,50873.08932149783
2002-12-17,1099163.8364359401,0.010520977476996485,False,True,549581.9182179756,345705.9144941233,75993.90172844008,127882.10199540108
2002-12-18,136801.41494333744,0.0013106767080904558,False,True,17869.510254107416,18047.1168532297,68400.70747166127,32484.080364339054
2002-12-19,744831.9916240461,0.00707129195415841,False,True,108044.02473683655,296866.8794014044,75549.11641062051,264371.97107518464
2002-12-20,621354.0146474876,0.005864749857954415,False,True,288084.10608450696,109123.90157812834,201553.10574562103,22592.90123923123
2002-12-23,515961.0462972522,0.004890280606952137,False,True,19718.139706537127,23485.858164310455,214776.5252777785,257980.5231486261
2002-12-24,1035807.7086788304,0.009778249341793329,False,True,312054.63282242045,205849.22151698545,244183.03411722556,273720.82022219896
2002-12-25,47294.15962459147,0.0004452328630266865,False,True,5423.7752652950585,23647.079812295735,13764.402936387807,4458.901610612869
2002-12-26,310348.34163268656,0.0029273581496204993,False,True,51724.72360544652,51724.72360544652,51724.72360544652,155174.170816347
2002-12-27,962151.6861637458,0.009082131438995876,False,True,410930.25936185196,14620.888656541705,70145.58372003213,466454.95442532003
2002-12-30,309653.07899700105,0.002921116704869364,False,True,145551.68394906074,108012.66746206582,9274.855549454689,46813.87203641981
2002-12-31,1060850.4534191638,0.010090698026473168,False,True,189047.8922663927,341377.3344431929,323872.51582295075,206552.71088662744
2003-01-01,619687.2345371544,0.005888423542637608,False,True,39318.144669793546,224654.29598910362,45871.17660968378,309843.6172685735
2003-01-02,0.0,0.0,False,False,0.0,0.0,0.0,0.0
2003-01-03,1032078.5089172125,0.009744745724283379,False,True,196592.16845194623,9169.948929280043,506869.3055293225,319447.08600666374
2003-01-06,539553.9953400306,0.0050146986155605545,False,True,269776.99767000973,207061.31698220968,39785.898779563606,22929.78190824762
2003-01-07,1294159.2033693455,0.011979791268118292,False,True,364718.7240101434,282360.87767452747,538573.1311431229,108506.47054155171
2003-01-08,886539.9349928051,0.008206524461515834,False,True,443269.9674963914,62897.62774775922,72781.67354428023,307590.6662043743
2003-01-09,762857.660940025,0.0070317394813906985,False,True,316203.98130908236,61221.24828064442,4003.6008802875876,381428.83047001064
2003-01-10,555238.6564248279,0.0050986345699670105,False,True,78120.17450899631,29076.537329100072,277619.32821241394,170422.61637431756
